img_name,fx,fy,fz,x,y,z,x_shear,y_shear
romboid_img_0.jpg,0.004,0.007,-0.13,0,0.0,0.7,0,0
romboid_img_1.jpg,0.028,0.155,-0.152,0,0.0,0.7,0,0.2
romboid_img_2.jpg,0.05,0.324,-0.211,0,0.0,0.7,0,0.5
romboid_img_3.jpg,0.06,0.478,-0.299,0,0.0,0.7,0,0.8
romboid_img_4.jpg,0.055,0.621,-0.405,0,0.0,0.7,0,1.1
romboid_img_5.jpg,0.187,0.052,-0.169,0,0.0,0.7,0.2,0
romboid_img_6.jpg,0.338,0.074,-0.205,0,0.0,0.7,0.5,0
romboid_img_7.jpg,0.406,0.067,-0.228,0,0.0,0.7,0.8,0
romboid_img_8.jpg,0.47,0.069,-0.249,0,0.0,0.7,1.1,0
romboid_img_9.jpg,0.029,0.045,-0.372,0,0.0,0.8,0,0
romboid_img_10.jpg,0.074,0.229,-0.408,0,0.0,0.8,0,0.2
romboid_img_11.jpg,0.129,0.468,-0.525,0,0.0,0.8,0,0.5
romboid_img_12.jpg,0.144,0.725,-0.659,0,0.0,0.8,0,0.8
romboid_img_13.jpg,0.134,0.881,-0.805,0,0.0,0.8,0,1.1
romboid_img_14.jpg,0.249,0.104,-0.432,0,0.0,0.8,0.2,0
romboid_img_15.jpg,0.476,0.156,-0.496,0,0.0,0.8,0.5,0
romboid_img_16.jpg,0.643,0.175,-0.558,0,0.0,0.8,0.8,0
romboid_img_17.jpg,0.744,0.172,-0.621,0,0.0,0.8,1.1,0
romboid_img_18.jpg,0.067,0.079,-0.673,0,0.0,0.9,0,0
romboid_img_19.jpg,0.12,0.293,-0.712,0,0.0,0.9,0,0.2
romboid_img_20.jpg,0.187,0.582,-0.843,0,0.0,0.9,0,0.5
romboid_img_21.jpg,0.228,0.911,-1.034,0,0.0,0.9,0,0.8
romboid_img_22.jpg,0.21,1.105,-1.23,0,0.0,0.9,0,1.1
romboid_img_23.jpg,0.298,0.161,-0.731,0,0.0,0.9,0.2,0
romboid_img_24.jpg,0.578,0.234,-0.825,0,0.0,0.9,0.5,0
romboid_img_25.jpg,0.825,0.289,-0.941,0,0.0,0.9,0.8,0
romboid_img_26.jpg,0.954,0.29,-1.03,0,0.0,0.9,1.1,0
romboid_img_27.jpg,0.094,0.121,-0.993,0,0.0,1.0,0,0
romboid_img_28.jpg,0.161,0.354,-1.04,0,0.0,1.0,0,0.2
romboid_img_29.jpg,0.242,0.686,-1.192,0,0.0,1.0,0,0.5
romboid_img_30.jpg,0.294,1.066,-1.404,0,0.0,1.0,0,0.8
romboid_img_31.jpg,0.297,1.318,-1.666,0,0.0,1.0,0,1.1
romboid_img_32.jpg,0.347,0.211,-1.066,0,0.0,1.0,0.2,0
romboid_img_33.jpg,0.676,0.312,-1.182,0,0.0,1.0,0.5,0
romboid_img_34.jpg,0.977,0.383,-1.335,0,0.0,1.0,0.8,0
romboid_img_35.jpg,1.157,0.405,-1.476,0,0.0,1.0,1.1,0
romboid_img_36.jpg,0.142,0.17,-1.376,0,0.0,1.1,0,0
romboid_img_37.jpg,0.214,0.424,-1.428,0,0.0,1.1,0,0.2
romboid_img_38.jpg,0.31,0.794,-1.585,0,0.0,1.1,0,0.5
romboid_img_39.jpg,0.377,1.216,-1.835,0,0.0,1.1,0,0.8
romboid_img_40.jpg,0.403,1.549,-2.134,0,0.0,1.1,0,1.1
romboid_img_41.jpg,0.389,0.26,-1.451,0,0.0,1.1,0.2,0
romboid_img_42.jpg,0.784,0.383,-1.598,0,0.0,1.1,0.5,0
romboid_img_43.jpg,1.124,0.488,-1.79,0,0.0,1.1,0.8,0
romboid_img_44.jpg,1.369,0.536,-1.978,0,0.0,1.1,1.1,0
romboid_img_45.jpg,0.191,0.213,-1.81,0,0.0,1.2,0,0
romboid_img_46.jpg,0.277,0.492,-1.858,0,0.0,1.2,0,0.2
romboid_img_47.jpg,0.381,0.901,-2.029,0,0.0,1.2,0,0.5
romboid_img_48.jpg,0.464,1.357,-2.312,0,0.0,1.2,0,0.8
romboid_img_49.jpg,0.513,1.793,-2.66,0,0.0,1.2,0,1.1
romboid_img_50.jpg,0.444,0.32,-1.874,0,0.0,1.2,0.2,0
romboid_img_51.jpg,0.887,0.461,-2.051,0,0.0,1.2,0.5,0
romboid_img_52.jpg,1.27,0.585,-2.266,0,0.0,1.2,0.8,0
romboid_img_53.jpg,1.564,0.667,-2.484,0,0.0,1.2,1.1,0
romboid_img_54.jpg,0.234,0.26,-2.217,0,0.0,1.3,0,0
romboid_img_55.jpg,0.327,0.552,-2.265,0,0.0,1.3,0,0.2
romboid_img_56.jpg,0.447,0.989,-2.451,0,0.0,1.3,0,0.5
romboid_img_57.jpg,0.548,1.482,-2.759,0,0.0,1.3,0,0.8
romboid_img_58.jpg,0.611,1.978,-3.139,0,0.0,1.3,0,1.1
romboid_img_59.jpg,0.494,0.373,-2.294,0,0.0,1.3,0.2,0
romboid_img_60.jpg,0.959,0.53,-2.485,0,0.0,1.3,0.5,0
romboid_img_61.jpg,1.386,0.672,-2.709,0,0.0,1.3,0.8,0
romboid_img_62.jpg,1.726,0.777,-2.946,0,0.0,1.3,1.1,0
romboid_img_63.jpg,0.277,0.315,-2.702,0,0.0,1.4,0,0
romboid_img_64.jpg,0.374,0.63,-2.748,0,0.0,1.4,0,0.2
romboid_img_65.jpg,0.513,1.083,-2.95,0,0.0,1.4,0,0.5
romboid_img_66.jpg,0.637,1.612,-3.279,0,0.0,1.4,0,0.8
romboid_img_67.jpg,0.714,2.162,-3.677,0,0.0,1.4,0,1.1
romboid_img_68.jpg,0.564,0.439,-2.783,0,0.0,1.4,0.2,0
romboid_img_69.jpg,1.066,0.612,-2.986,0,0.0,1.4,0.5,0
romboid_img_70.jpg,1.523,0.766,-3.211,0,0.0,1.4,0.8,0
romboid_img_71.jpg,1.916,0.893,-3.479,0,0.0,1.4,1.1,0
romboid_img_72.jpg,0.334,0.373,-3.239,0,0.0,1.5,0,0
romboid_img_73.jpg,0.432,0.708,-3.279,0,0.0,1.5,0,0.2
romboid_img_74.jpg,0.587,1.189,-3.487,0,0.0,1.5,0,0.5
romboid_img_75.jpg,0.734,1.74,-3.854,0,0.0,1.5,0,0.8
romboid_img_76.jpg,0.826,2.345,-4.225,0,0.0,1.5,0,1.1
romboid_img_77.jpg,0.623,0.509,-3.319,0,0.0,1.5,0.2,0
romboid_img_78.jpg,1.159,0.69,-3.52,0,0.0,1.5,0.5,0
romboid_img_79.jpg,1.664,0.862,-3.768,0,0.0,1.5,0.8,0
romboid_img_80.jpg,2.126,1.017,-4.059,0,0.0,1.5,1.1,0
romboid_img_81.jpg,0.385,0.455,-3.795,0,0.0,1.6,0,0
romboid_img_82.jpg,0.493,0.8,-3.851,0,0.0,1.6,0,0.2
romboid_img_83.jpg,0.661,1.308,-4.066,0,0.0,1.6,0,0.5
romboid_img_84.jpg,0.841,1.887,-4.457,0,0.0,1.6,0,0.8
romboid_img_85.jpg,0.957,2.54,-4.849,0,0.0,1.6,0,1.1
romboid_img_86.jpg,0.691,0.575,-3.889,0,0.0,1.6,0.2,0
romboid_img_87.jpg,1.267,0.776,-4.092,0,0.0,1.6,0.5,0
romboid_img_88.jpg,1.827,0.972,-4.362,0,0.0,1.6,0.8,0
romboid_img_89.jpg,2.324,1.138,-4.665,0,0.0,1.6,1.1,0
romboid_img_90.jpg,0.448,0.528,-4.432,0,0.0,1.7,0,0
romboid_img_91.jpg,0.559,0.886,-4.48,0,0.0,1.7,0,0.2
romboid_img_92.jpg,0.733,1.432,-4.706,0,0.0,1.7,0,0.5
romboid_img_93.jpg,0.936,2.053,-5.136,0,0.0,1.7,0,0.8
romboid_img_94.jpg,1.09,2.724,-5.514,0,0.0,1.7,0,1.1
romboid_img_95.jpg,0.782,0.661,-4.539,0,0.0,1.7,0.2,0
romboid_img_96.jpg,1.396,0.869,-4.767,0,0.0,1.7,0.5,0
romboid_img_97.jpg,1.997,1.08,-5.049,0,0.0,1.7,0.8,0
romboid_img_98.jpg,2.53,1.261,-5.34,0,0.0,1.7,1.1,0
romboid_img_99.jpg,0.521,0.592,-5.095,0,0.0,1.8,0,0
romboid_img_100.jpg,0.633,0.972,-5.121,0,0.0,1.8,0,0.2
romboid_img_101.jpg,0.815,1.541,-5.368,0,0.0,1.8,0,0.5
romboid_img_102.jpg,1.028,2.191,-5.803,0,0.0,1.8,0,0.8
romboid_img_103.jpg,1.231,2.905,-6.267,0,0.0,1.8,0,1.1
romboid_img_104.jpg,0.869,0.738,-5.191,0,0.0,1.8,0.2,0
romboid_img_105.jpg,1.514,0.958,-5.432,0,0.0,1.8,0.5,0
romboid_img_106.jpg,2.143,1.176,-5.736,0,0.0,1.8,0.8,0
romboid_img_107.jpg,2.711,1.366,-5.983,0,0.0,1.8,1.1,0
romboid_img_108.jpg,0.001,0.006,-0.011,0,4.0,0.7,0,0
romboid_img_109.jpg,0.001,0.005,-0.01,0,4.0,0.7,0,0.2
