img_name,fx,fy,fz,x,y,z,x_shear,y_shear
square_img_0.jpg,0.122,0.055,-0.771,0,0.0,0.7,0,0
square_img_1.jpg,0.15,0.272,-0.797,0,0.0,0.7,0,0.2
square_img_2.jpg,0.187,0.484,-0.858,0,0.0,0.7,0,0.5
square_img_3.jpg,0.159,0.502,-0.903,0,0.0,0.7,0,0.8
square_img_4.jpg,0.144,0.546,-0.967,0,0.0,0.7,0,1.1
square_img_5.jpg,0.352,0.096,-0.873,0,0.0,0.7,0.2,0
square_img_6.jpg,0.6,0.104,-0.994,0,0.0,0.7,0.5,0
square_img_7.jpg,0.656,0.079,-1.11,0,0.0,0.7,0.8,0
square_img_8.jpg,0.72,0.065,-1.197,0,0.0,0.7,1.1,0
square_img_9.jpg,0.197,0.097,-1.098,0,0.0,0.8,0,0
square_img_10.jpg,0.24,0.33,-1.125,0,0.0,0.8,0,0.2
square_img_11.jpg,0.289,0.582,-1.191,0,0.0,0.8,0,0.5
square_img_12.jpg,0.288,0.689,-1.277,0,0.0,0.8,0,0.8
square_img_13.jpg,0.266,0.746,-1.357,0,0.0,0.8,0,1.1
square_img_14.jpg,0.423,0.141,-1.197,0,0.0,0.8,0.2,0
square_img_15.jpg,0.746,0.162,-1.36,0,0.0,0.8,0.5,0
square_img_16.jpg,0.874,0.142,-1.524,0,0.0,0.8,0.8,0
square_img_17.jpg,0.96,0.126,-1.651,0,0.0,0.8,1.1,0
square_img_18.jpg,0.263,0.128,-1.43,0,0.0,0.9,0,0
square_img_19.jpg,0.308,0.389,-1.454,0,0.0,0.9,0,0.2
square_img_20.jpg,0.365,0.67,-1.529,0,0.0,0.9,0,0.5
square_img_21.jpg,0.41,0.88,-1.653,0,0.0,0.9,0,0.8
square_img_22.jpg,0.378,0.928,-1.762,0,0.0,0.9,0,1.1
square_img_23.jpg,0.501,0.182,-1.53,0,0.0,0.9,0.2,0
square_img_24.jpg,0.876,0.214,-1.719,0,0.0,0.9,0.5,0
square_img_25.jpg,1.108,0.213,-1.931,0,0.0,0.9,0.8,0
square_img_26.jpg,1.2,0.194,-2.095,0,0.0,0.9,1.1,0
square_img_27.jpg,0.333,0.169,-1.789,0,0.0,1.0,0,0
square_img_28.jpg,0.382,0.451,-1.813,0,0.0,1.0,0,0.2
square_img_29.jpg,0.449,0.759,-1.892,0,0.0,1.0,0,0.5
square_img_30.jpg,0.508,1.027,-2.038,0,0.0,1.0,0,0.8
square_img_31.jpg,0.506,1.144,-2.189,0,0.0,1.0,0,1.1
square_img_32.jpg,0.58,0.226,-1.884,0,0.0,1.0,0.2,0
square_img_33.jpg,0.995,0.258,-2.095,0,0.0,1.0,0.5,0
square_img_34.jpg,1.338,0.284,-2.343,0,0.0,1.0,0.8,0
square_img_35.jpg,1.421,0.255,-2.547,0,0.0,1.0,1.1,0
square_img_36.jpg,0.406,0.204,-2.185,0,0.0,1.1,0,0
square_img_37.jpg,0.455,0.508,-2.211,0,0.0,1.1,0,0.2
square_img_38.jpg,0.532,0.841,-2.292,0,0.0,1.1,0,0.5
square_img_39.jpg,0.603,1.138,-2.452,0,0.0,1.1,0,0.8
square_img_40.jpg,0.659,1.389,-2.649,0,0.0,1.1,0,1.1
square_img_41.jpg,0.67,0.271,-2.287,0,0.0,1.1,0.2,0
square_img_42.jpg,1.116,0.306,-2.502,0,0.0,1.1,0.5,0
square_img_43.jpg,1.511,0.346,-2.769,0,0.0,1.1,0.8,0
square_img_44.jpg,1.655,0.341,-2.996,0,0.0,1.1,1.1,0
square_img_45.jpg,0.473,0.241,-2.601,0,0.0,1.2,0,0
square_img_46.jpg,0.524,0.561,-2.61,0,0.0,1.2,0,0.2
square_img_47.jpg,0.599,0.919,-2.695,0,0.0,1.2,0,0.5
square_img_48.jpg,0.688,1.246,-2.866,0,0.0,1.2,0,0.8
square_img_49.jpg,0.763,1.559,-3.08,0,0.0,1.2,0,1.1
square_img_50.jpg,0.746,0.309,-2.697,0,0.0,1.2,0.2,0
square_img_51.jpg,1.222,0.348,-2.919,0,0.0,1.2,0.5,0
square_img_52.jpg,1.658,0.404,-3.197,0,0.0,1.2,0.8,0
square_img_53.jpg,1.955,0.426,-3.459,0,0.0,1.2,1.1,0
square_img_54.jpg,0.535,0.278,-3.027,0,0.0,1.3,0,0
square_img_55.jpg,0.588,0.613,-3.038,0,0.0,1.3,0,0.2
square_img_56.jpg,0.67,0.987,-3.129,0,0.0,1.3,0,0.5
square_img_57.jpg,0.756,1.336,-3.294,0,0.0,1.3,0,0.8
square_img_58.jpg,0.863,1.696,-3.528,0,0.0,1.3,0,1.1
square_img_59.jpg,0.822,0.351,-3.125,0,0.0,1.3,0.2,0
square_img_60.jpg,1.319,0.405,-3.339,0,0.0,1.3,0.5,0
square_img_61.jpg,1.797,0.457,-3.643,0,0.0,1.3,0.8,0
square_img_62.jpg,2.185,0.496,-3.926,0,0.0,1.3,1.1,0
square_img_63.jpg,0.596,0.32,-3.489,0,0.0,1.4,0,0
square_img_64.jpg,0.65,0.662,-3.496,0,0.0,1.4,0,0.2
square_img_65.jpg,0.726,1.049,-3.575,0,0.0,1.4,0,0.5
square_img_66.jpg,0.833,1.421,-3.738,0,0.0,1.4,0,0.8
square_img_67.jpg,0.951,1.824,-3.994,0,0.0,1.4,0,1.1
square_img_68.jpg,0.898,0.4,-3.584,0,0.0,1.4,0.2,0
square_img_69.jpg,1.417,0.452,-3.796,0,0.0,1.4,0.5,0
square_img_70.jpg,1.933,0.51,-4.103,0,0.0,1.4,0.8,0
square_img_71.jpg,2.371,0.557,-4.379,0,0.0,1.4,1.1,0
square_img_72.jpg,0.651,0.365,-3.948,0,0.0,1.5,0,0
square_img_73.jpg,0.69,0.706,-3.93,0,0.0,1.5,0,0.2
square_img_74.jpg,0.785,1.11,-4.013,0,0.0,1.5,0,0.5
square_img_75.jpg,0.901,1.501,-4.184,0,0.0,1.5,0,0.8
square_img_76.jpg,1.028,1.937,-4.457,0,0.0,1.5,0,1.1
square_img_77.jpg,0.961,0.443,-4.033,0,0.0,1.5,0.2,0
square_img_78.jpg,1.497,0.482,-4.21,0,0.0,1.5,0.5,0
square_img_79.jpg,2.047,0.556,-4.55,0,0.0,1.5,0.8,0
square_img_80.jpg,2.523,0.608,-4.823,0,0.0,1.5,1.1,0
square_img_81.jpg,0.711,0.41,-4.568,0,0.0,1.6,0,0
square_img_82.jpg,0.767,0.782,-4.551,0,0.0,1.6,0,0.2
square_img_83.jpg,0.871,1.194,-4.641,0,0.0,1.6,0,0.5
square_img_84.jpg,0.995,1.607,-4.819,0,0.0,1.6,0,0.8
square_img_85.jpg,1.124,2.065,-5.061,0,0.0,1.6,0,1.1
square_img_86.jpg,1.045,0.506,-4.657,0,0.0,1.6,0.2,0
square_img_87.jpg,1.601,0.533,-4.795,0,0.0,1.6,0.5,0
square_img_88.jpg,2.2,0.619,-5.15,0,0.0,1.6,0.8,0
