time,mag,mag_avg2,mag_avg3,mag_avg4,label
0.038,3.5555906,3.556,3.556,3.562,static
0.047,3.5555906,3.556,3.556,3.556,static
0.056,3.5555906,3.556,3.556,3.556,static
0.065,3.5555906,3.556,3.556,3.556,static
0.074,3.3009236,3.428,3.471,3.492,static
0.083,3.3009236,3.301,3.386,3.428,static
0.092,3.3009236,3.301,3.301,3.365,static
0.104,3.3009236,3.301,3.301,3.301,static
0.114,3.3009236,3.301,3.301,3.301,static
0.123,3.387789,3.344,3.33,3.323,static
0.133,3.387789,3.388,3.359,3.344,static
0.142,3.387789,3.388,3.388,3.366,static
0.151,3.387789,3.388,3.388,3.388,static
0.16,3.387789,3.388,3.388,3.388,static
0.17,3.4955943,3.442,3.424,3.415,static
0.179,3.4955943,3.496,3.46,3.442,static
0.187,3.4955943,3.496,3.496,3.469,static
0.198,3.4955943,3.496,3.496,3.496,static
0.207,3.4955943,3.496,3.496,3.496,static
0.217,3.4955943,3.496,3.496,3.496,static
0.226,3.4955943,3.496,3.496,3.496,static
0.235,3.576533,3.536,3.523,3.516,static
0.245,3.576533,3.577,3.55,3.536,static
0.255,3.576533,3.577,3.577,3.556,static
0.266,3.576533,3.577,3.577,3.577,static
0.276,3.576533,3.577,3.577,3.577,static
0.286,3.5516765,3.564,3.568,3.57,static
0.295,3.5516765,3.552,3.56,3.564,static
0.303,3.5516765,3.552,3.552,3.558,static
0.313,3.5516765,3.552,3.552,3.552,static
0.322,3.5516765,3.552,3.552,3.552,static
0.332,3.5516765,3.552,3.552,3.552,static
0.341,3.3673997,3.46,3.49,3.506,static
0.35,3.3673997,3.367,3.429,3.46,static
0.36,3.3673997,3.367,3.367,3.413,static
0.37,3.3673997,3.367,3.367,3.367,static
0.379,3.3673997,3.367,3.367,3.367,static
0.388,3.4032228,3.385,3.379,3.376,static
0.397,3.4032228,3.403,3.391,3.385,static
0.408,3.4032228,3.403,3.403,3.394,static
0.417,3.4032228,3.403,3.403,3.403,static
0.428,3.4032228,3.403,3.403,3.403,static
0.437,3.5685306,3.486,3.458,3.445,static
0.447,3.5685306,3.569,3.513,3.486,static
0.456,3.5685306,3.569,3.569,3.527,static
0.466,3.5685306,3.569,3.569,3.569,static
0.475,3.5685306,3.569,3.569,3.569,static
0.484,3.5685306,3.569,3.569,3.569,static
0.493,3.392569,3.481,3.51,3.525,static
0.502,3.392569,3.393,3.451,3.481,static
0.512,3.392569,3.393,3.393,3.437,static
0.522,3.392569,3.393,3.393,3.393,static
0.531,3.392569,3.393,3.393,3.393,static
0.54,3.392569,3.393,3.393,3.393,static
0.549,3.488857,3.441,3.425,3.417,static
0.559,3.488857,3.489,3.457,3.441,static
0.57,3.488857,3.489,3.489,3.465,static
0.579,3.488857,3.489,3.489,3.489,static
0.588,3.401778,3.445,3.46,3.467,static
0.599,3.401778,3.402,3.431,3.445,static
0.608,3.401778,3.402,3.402,3.424,static
0.618,3.401778,3.402,3.402,3.402,static
0.627,3.401778,3.402,3.402,3.402,static
0.636,3.401778,3.402,3.402,3.402,static
0.645,3.401778,3.402,3.402,3.402,static
0.654,3.6094272,3.506,3.471,3.454,static
0.662,3.6094272,3.609,3.54,3.506,static
0.671,3.6094272,3.609,3.609,3.558,static
0.68,3.6094272,3.609,3.609,3.609,static
0.691,3.6094272,3.609,3.609,3.609,static
0.701,3.6094272,3.609,3.609,3.609,static
0.71,3.5257285,3.568,3.582,3.589,static
0.719,3.5257285,3.526,3.554,3.568,static
0.728,3.5257285,3.526,3.526,3.547,static
0.738,3.5257285,3.526,3.526,3.526,static
0.748,3.5257285,3.526,3.526,3.526,static
0.757,3.471543,3.499,3.508,3.512,static
0.766,3.471543,3.472,3.49,3.499,static
0.775,3.471543,3.472,3.472,3.485,static
0.784,3.471543,3.472,3.472,3.472,static
0.793,3.471543,3.472,3.472,3.472,static
0.802,3.471543,3.472,3.472,3.472,static
0.811,3.4038627,3.438,3.449,3.455,static
0.821,3.4038627,3.404,3.426,3.438,static
0.83,3.4038627,3.404,3.404,3.421,static
0.84,3.4038627,3.404,3.404,3.404,static
0.85,3.4038627,3.404,3.404,3.404,static
0.859,3.4038627,3.404,3.404,3.404,static
0.868,3.4943578,3.449,3.434,3.426,static
0.879,3.4943578,3.494,3.464,3.449,static
0.89,3.4943578,3.494,3.494,3.472,static
0.9,3.4943578,3.494,3.494,3.494,static
0.909,3.4304602,3.462,3.473,3.478,static
0.92,3.4304602,3.43,3.452,3.462,static
0.929,3.4304602,3.43,3.43,3.446,static
