time,mag,mag_avg2,mag_avg3,mag_avg4,label
0.052,0.0388973006775534,0.039,0.039,0.04,static
0.063,0.0388973006775534,0.039,0.039,0.039,static
0.074,0.0388973006775534,0.039,0.039,0.039,static
0.086,0.0388973006775534,0.039,0.039,0.039,static
0.1,0.0431856457633783,0.041,0.04,0.04,static
0.113,0.0431856457633783,0.043,0.042,0.041,static
0.124,0.0431856457633783,0.043,0.043,0.042,static
0.136,0.0431856457633783,0.043,0.043,0.043,static
0.149,0.0431856457633783,0.043,0.043,0.043,static
0.162,0.0470106370941726,0.045,0.044,0.044,static
0.173,0.0470106370941726,0.047,0.046,0.045,static
0.189,0.0470106370941726,0.047,0.047,0.046,static
0.2,0.0470106370941726,0.047,0.047,0.047,static
0.215,0.0470106370941726,0.047,0.047,0.047,static
0.228,0.0439317652729775,0.045,0.046,0.046,static
0.24,0.0439317652729775,0.044,0.045,0.045,static
0.251,0.0439317652729775,0.044,0.044,0.045,static
0.263,0.0439317652729775,0.044,0.044,0.044,static
0.276,0.0439317652729775,0.044,0.044,0.044,static
0.29,0.0438634243989226,0.044,0.044,0.044,static
0.303,0.0438634243989226,0.044,0.044,0.044,static
0.315,0.0438634243989226,0.044,0.044,0.044,static
0.327,0.0438634243989226,0.044,0.044,0.044,static
0.34,0.0440454310910904,0.044,0.044,0.044,static
0.351,0.0440454310910904,0.044,0.044,0.044,static
0.364,0.0440454310910904,0.044,0.044,0.044,static
0.375,0.0440454310910904,0.044,0.044,0.044,static
0.388,0.0440454310910904,0.044,0.044,0.044,static
0.402,0.0424264068711928,0.043,0.044,0.044,static
0.416,0.0424264068711928,0.042,0.043,0.043,static
0.429,0.0424264068711928,0.042,0.042,0.043,static
0.44,0.0424264068711928,0.042,0.042,0.042,static
0.451,0.0432781700167648,0.043,0.043,0.043,static
0.465,0.0432781700167648,0.043,0.043,0.043,static
0.476,0.0432781700167648,0.043,0.043,0.043,static
0.487,0.0432781700167648,0.043,0.043,0.043,static
0.499,0.0432781700167648,0.043,0.043,0.043,static
0.51,0.0538144961882948,0.049,0.047,0.046,static
0.521,0.0538144961882948,0.054,0.05,0.049,static
0.535,0.0538144961882948,0.054,0.054,0.051,static
0.549,0.0538144961882948,0.054,0.054,0.054,static
