time,fx,fy,fz,mag,fx_avg2,fy_avg2,fz_avg2,mag_avg2,fx_avg3,fy_avg3,fz_avg3,mag_avg3,fx_avg4,fy_avg4,fz_avg4,mag_avg4
0.014,0.587,0.809,8.68,8.737359440929508,,,,,,,,,,,,
0.026,0.587,0.809,8.68,8.737359440929508,0.587,0.809,8.68,8.737,,,,,,,,
0.038,0.586,0.797,8.559,8.61597852829265,0.586,0.803,8.619,8.677,0.587,0.805,8.64,8.697,,,,
0.049,0.586,0.797,8.559,8.61597852829265,0.586,0.797,8.559,8.616,0.586,0.801,8.599,8.656,0.586,0.803,8.619,8.677
0.061,0.586,0.797,8.559,8.61597852829265,0.586,0.797,8.559,8.616,0.586,0.797,8.559,8.616,0.586,0.8,8.589,8.646
0.073,0.586,0.797,8.559,8.61597852829265,0.586,0.797,8.559,8.616,0.586,0.797,8.559,8.616,0.586,0.797,8.559,8.616
0.085,0.586,0.797,8.559,8.61597852829265,0.586,0.797,8.559,8.616,0.586,0.797,8.559,8.616,0.586,0.797,8.559,8.616
0.098,0.604,0.809,8.52,8.57960937339224,0.595,0.803,8.54,8.598,0.592,0.801,8.546,8.604,0.59,0.8,8.549,8.607
0.112,0.604,0.809,8.52,8.57960937339224,0.604,0.809,8.52,8.58,0.598,0.805,8.533,8.592,0.595,0.803,8.54,8.598
0.124,0.604,0.809,8.52,8.57960937339224,0.604,0.809,8.52,8.58,0.604,0.809,8.52,8.58,0.599,0.806,8.53,8.589
0.135,0.604,0.809,8.52,8.57960937339224,0.604,0.809,8.52,8.58,0.604,0.809,8.52,8.58,0.604,0.809,8.52,8.58
0.146,0.59,0.806,8.615,8.672713589183031,0.597,0.808,8.567,8.626,0.599,0.808,8.552,8.611,0.6,0.808,8.544,8.603
0.158,0.59,0.806,8.615,8.672713589183031,0.59,0.806,8.615,8.673,0.595,0.807,8.583,8.642,0.597,0.808,8.568,8.626
0.17,0.59,0.806,8.615,8.672713589183031,0.59,0.806,8.615,8.673,0.59,0.806,8.615,8.673,0.593,0.807,8.591,8.649
0.185,0.59,0.806,8.615,8.672713589183031,0.59,0.806,8.615,8.673,0.59,0.806,8.615,8.673,0.59,0.806,8.615,8.673
0.196,0.59,0.806,8.615,8.672713589183031,0.59,0.806,8.615,8.673,0.59,0.806,8.615,8.673,0.59,0.806,8.615,8.673
0.208,0.595,0.798,8.609,8.666355058500661,0.592,0.802,8.612,8.67,0.592,0.803,8.613,8.671,0.591,0.804,8.614,8.671
0.22,0.595,0.798,8.609,8.666355058500661,0.595,0.798,8.609,8.666,0.593,0.801,8.611,8.668,0.592,0.802,8.612,8.67
0.233,0.595,0.798,8.609,8.666355058500661,0.595,0.798,8.609,8.666,0.595,0.798,8.609,8.666,0.594,0.8,8.61,8.668
0.247,0.595,0.798,8.609,8.666355058500661,0.595,0.798,8.609,8.666,0.595,0.798,8.609,8.666,0.595,0.798,8.609,8.666
0.258,0.595,0.798,8.609,8.666355058500661,0.595,0.798,8.609,8.666,0.595,0.798,8.609,8.666,0.595,0.798,8.609,8.666
0.269,0.585,0.813,8.612,8.67004832743163,0.59,0.806,8.61,8.668,0.592,0.803,8.61,8.668,0.592,0.802,8.61,8.667
0.281,0.585,0.813,8.612,8.67004832743163,0.585,0.813,8.612,8.67,0.588,0.808,8.611,8.669,0.59,0.806,8.61,8.668
0.297,0.585,0.813,8.612,8.67004832743163,0.585,0.813,8.612,8.67,0.585,0.813,8.612,8.67,0.587,0.809,8.611,8.669
0.312,0.585,0.813,8.612,8.67004832743163,0.585,0.813,8.612,8.67,0.585,0.813,8.612,8.67,0.585,0.813,8.612,8.67
0.324,0.585,0.813,8.612,8.67004832743163,0.585,0.813,8.612,8.67,0.585,0.813,8.612,8.67,0.585,0.813,8.612,8.67
0.335,0.577,0.835,8.791,8.84939743711401,0.581,0.824,8.702,8.76,0.582,0.82,8.672,8.73,0.583,0.818,8.657,8.715
0.348,0.577,0.835,8.791,8.84939743711401,0.577,0.835,8.791,8.849,0.58,0.828,8.731,8.79,0.581,0.824,8.702,8.76
0.361,0.577,0.835,8.791,8.84939743711401,0.577,0.835,8.791,8.849,0.577,0.835,8.791,8.849,0.579,0.83,8.746,8.805
0.373,0.577,0.835,8.791,8.84939743711401,0.577,0.835,8.791,8.849,0.577,0.835,8.791,8.849,0.577,0.835,8.791,8.849
0.387,0.586,0.805,8.849,8.904842615116788,0.581,0.82,8.82,8.877,0.58,0.825,8.81,8.868,0.579,0.827,8.806,8.863
0.399,0.586,0.805,8.849,8.904842615116788,0.586,0.805,8.849,8.905,0.583,0.815,8.83,8.886,0.581,0.82,8.82,8.877
0.411,0.586,0.805,8.849,8.904842615116788,0.586,0.805,8.849,8.905,0.586,0.805,8.849,8.905,0.584,0.812,8.834,8.891
0.424,0.586,0.805,8.849,8.904842615116788,0.586,0.805,8.849,8.905,0.586,0.805,8.849,8.905,0.586,0.805,8.849,8.905
0.436,0.586,0.805,8.849,8.904842615116788,0.586,0.805,8.849,8.905,0.586,0.805,8.849,8.905,0.586,0.805,8.849,8.905
0.448,0.581,0.806,8.68,8.736681120425535,0.583,0.806,8.764,8.821,0.584,0.805,8.793,8.849,0.585,0.805,8.807,8.863
0.463,0.581,0.806,8.68,8.736681120425535,0.581,0.806,8.68,8.737,0.583,0.806,8.736,8.793,0.584,0.806,8.764,8.821
0.474,0.581,0.806,8.68,8.736681120425535,0.581,0.806,8.68,8.737,0.581,0.806,8.68,8.737,0.582,0.806,8.722,8.779
0.486,0.581,0.806,8.68,8.736681120425535,0.581,0.806,8.68,8.737,0.581,0.806,8.68,8.737,0.581,0.806,8.68,8.737
0.499,0.602,0.812,8.667,8.725745641491047,0.591,0.809,8.674,8.731,0.588,0.808,8.676,8.733,0.586,0.808,8.677,8.734
0.511,0.602,0.812,8.667,8.725745641491047,0.602,0.812,8.667,8.726,0.595,0.81,8.671,8.729,0.592,0.809,8.674,8.731
0.523,0.602,0.812,8.667,8.725745641491047,0.602,0.812,8.667,8.726,0.602,0.812,8.667,8.726,0.597,0.811,8.67,8.728
0.534,0.602,0.812,8.667,8.725745641491047,0.602,0.812,8.667,8.726,0.602,0.812,8.667,8.726,0.602,0.812,8.667,8.726
0.547,0.602,0.812,8.667,8.725745641491047,0.602,0.812,8.667,8.726,0.602,0.812,8.667,8.726,0.602,0.812,8.667,8.726
0.56,0.581,0.811,8.729,8.785825117767823,0.591,0.812,8.698,8.756,0.595,0.812,8.688,8.746,0.597,0.812,8.682,8.741
0.571,0.581,0.811,8.729,8.785825117767823,0.581,0.811,8.729,8.786,0.588,0.811,8.708,8.766,0.591,0.812,8.698,8.756
0.583,0.581,0.811,8.729,8.785825117767823,0.581,0.811,8.729,8.786,0.581,0.811,8.729,8.786,0.586,0.811,8.714,8.771
0.598,0.581,0.811,8.729,8.785825117767823,0.581,0.811,8.729,8.786,0.581,0.811,8.729,8.786,0.581,0.811,8.729,8.786
0.61,0.581,0.811,8.729,8.785825117767823,0.581,0.811,8.729,8.786,0.581,0.811,8.729,8.786,0.581,0.811,8.729,8.786
0.623,0.59,0.832,8.736,8.795340812043614,0.585,0.822,8.732,8.791,0.584,0.818,8.731,8.789,0.583,0.816,8.731,8.788
0.634,0.59,0.832,8.736,8.795340812043614,0.59,0.832,8.736,8.795,0.587,0.825,8.734,8.792,0.585,0.822,8.732,8.791
0.647,0.59,0.832,8.736,8.795340812043614,0.59,0.832,8.736,8.795,0.59,0.832,8.736,8.795,0.588,0.827,8.734,8.793
0.659,0.59,0.832,8.736,8.795340812043614,0.59,0.832,8.736,8.795,0.59,0.832,8.736,8.795,0.59,0.832,8.736,8.795
0.671,0.588,0.807,8.581,8.638897730613552,0.589,0.82,8.658,8.717,0.589,0.824,8.684,8.743,0.59,0.826,8.697,8.756
0.682,0.588,0.807,8.581,8.638897730613552,0.588,0.807,8.581,8.639,0.589,0.815,8.633,8.691,0.589,0.82,8.658,8.717
0.693,0.588,0.807,8.581,8.638897730613552,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639,0.588,0.813,8.62,8.678
0.705,0.588,0.807,8.581,8.638897730613552,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639
0.717,0.588,0.807,8.581,8.638897730613552,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639
0.729,0.588,0.807,8.581,8.638897730613552,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639
0.741,0.588,0.807,8.581,8.638897730613552,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639,0.588,0.807,8.581,8.639
0.752,0.577,0.811,8.544,8.601778072003485,0.582,0.809,8.562,8.62,0.584,0.808,8.569,8.627,0.585,0.808,8.572,8.63
0.764,0.577,0.811,8.544,8.601778072003485,0.577,0.811,8.544,8.602,0.581,0.81,8.556,8.614,0.582,0.809,8.562,8.62
0.776,0.577,0.811,8.544,8.601778072003485,0.577,0.811,8.544,8.602,0.577,0.811,8.544,8.602,0.58,0.81,8.553,8.611
0.79,0.577,0.811,8.544,8.601778072003485,0.577,0.811,8.544,8.602,0.577,0.811,8.544,8.602,0.577,0.811,8.544,8.602
0.805,0.577,0.811,8.544,8.601778072003485,0.577,0.811,8.544,8.602,0.577,0.811,8.544,8.602,0.577,0.811,8.544,8.602
0.816,0.579,0.825,8.438,8.497982701794585,0.578,0.818,8.491,8.55,0.578,0.816,8.509,8.567,0.577,0.814,8.518,8.576
0.828,0.579,0.825,8.438,8.497982701794585,0.579,0.825,8.438,8.498,0.578,0.82,8.473,8.533,0.578,0.818,8.491,8.55
0.841,0.579,0.825,8.438,8.497982701794585,0.579,0.825,8.438,8.498,0.579,0.825,8.438,8.498,0.578,0.822,8.465,8.524
0.853,0.579,0.825,8.438,8.497982701794585,0.579,0.825,8.438,8.498,0.579,0.825,8.438,8.498,0.579,0.825,8.438,8.498
0.865,0.571,0.822,8.644,8.701750456086408,0.575,0.823,8.541,8.6,0.576,0.824,8.507,8.566,0.577,0.824,8.49,8.549
0.876,0.571,0.822,8.644,8.701750456086408,0.571,0.822,8.644,8.702,0.574,0.823,8.575,8.634,0.575,0.824,8.541,8.6
0.888,0.571,0.822,8.644,8.701750456086408,0.571,0.822,8.644,8.702,0.571,0.822,8.644,8.702,0.573,0.823,8.593,8.651
