,fx,fy,fz,x,y,z,x_shear,y_shear
0,0.00095529,0.00098142,0.00121789,0.0,0.0,0.0,,
1,-0.00046514,0.00026444,0.00154994,0.0,0.0,0.0,0.0,0.0
2,0.00585693,0.00866197,-0.10085842,0.0,0.0,1.2,0.0,0.0
3,0.00512849,0.08050313,-0.12517541,0.0,0.0,1.2,0.0,0.2
4,0.00468721,0.11270456,-0.15552963,0.0,0.0,1.2,0.0,0.5
5,0.0026138,0.14553476,-0.19324728,0.0,0.0,1.2,0.0,0.8
6,0.00280763,0.17663516,-0.22712812,0.0,0.0,1.2,0.0,1.1
7,0.08396079,0.00408752,-0.11901848,0.0,0.0,1.2,0.2,0.0
8,0.10490984,0.00205796,-0.13535242,0.0,0.0,1.2,0.5,0.0
9,0.12642572,0.00178911,-0.16422222,0.0,0.0,1.2,0.8,0.0
10,0.14798274,0.00645247,-0.19452447,0.0,0.0,1.2,1.1,0.0
11,0.03179149,0.03067961,-0.33255851,0.0,0.0,1.3,0.0,0.0
12,0.04715511,0.26569977,-0.39136146,0.0,0.0,1.3,0.0,0.2
13,0.0401159,0.38127264,-0.47048765,0.0,0.0,1.3,0.0,0.5
14,0.03366087,0.45280844,-0.54345928,0.0,0.0,1.3,0.0,0.8
15,0.02988271,0.53278904,-0.63263472,0.0,0.0,1.3,0.0,1.1
16,0.27463729,0.04351558,-0.3826772,0.0,0.0,1.3,0.2,0.0
17,0.39588229,0.03201329,-0.44905009,0.0,0.0,1.3,0.5,0.0
18,0.45507717,0.02457464,-0.51552224,0.0,0.0,1.3,0.8,0.0
19,0.50753909,0.02453222,-0.58184928,0.0,0.0,1.3,1.1,0.0
20,0.06756347,0.06018592,-0.68080363,0.0,0.0,1.4,0.0,0.0
21,0.10446727,0.37394737,-0.75771472,0.0,0.0,1.4,0.0,0.2
22,0.13654591,0.7239636,-0.91589314,0.0,0.0,1.4,0.0,0.5
23,0.13693289,0.91881008,-1.05572208,0.0,0.0,1.4,0.0,0.8
24,0.12814801,1.05964057,-1.20481391,0.0,0.0,1.4,0.0,1.1
25,0.37651042,0.09802384,-0.74426989,0.0,0.0,1.4,0.2,0.0
26,0.7331075,0.12803119,-0.87800744,0.0,0.0,1.4,0.5,0.0
27,0.89570282,0.13210417,-0.99830262,0.0,0.0,1.4,0.8,0.0
28,1.00086219,0.12521222,-1.1111498,0.0,0.0,1.4,1.1,0.0
29,0.11116006,0.10434752,-1.10627424,0.0,0.0,1.5,0.0,0.0
30,0.16455253,0.47528068,-1.21561516,0.0,0.0,1.5,0.0,0.2
31,0.23682255,0.95174867,-1.42474985,0.0,0.0,1.5,0.0,0.5
32,0.28481245,1.33564444,-1.63509775,0.0,0.0,1.5,0.0,0.8
33,0.30198183,1.65120164,-1.86633022,0.0,0.0,1.5,0.0,1.1
34,0.46485029,0.16448302,-1.19657338,0.0,0.0,1.5,0.2,0.0
35,0.94589833,0.23676052,-1.36586032,0.0,0.0,1.5,0.5,0.0
36,1.31736816,0.28802212,-1.5511368,0.0,0.0,1.5,0.8,0.0
37,1.56925301,0.3105164,-1.7257231,0.0,0.0,1.5,1.1,0.0
38,0.15472224,0.15710301,-1.59747922,0.0,0.0,1.6,0.0,0.0
39,0.21940901,0.57103127,-1.72044864,0.0,0.0,1.6,0.0,0.2
40,0.31986301,1.11922545,-1.95112587,0.0,0.0,1.6,0.0,0.5
41,0.40217343,1.629672,-2.20791412,0.0,0.0,1.6,0.0,0.8
42,0.47800887,2.11261837,-2.52334031,0.0,0.0,1.6,0.0,1.1
43,0.55161075,0.23925392,-1.71311494,0.0,0.0,1.6,0.2,0.0
44,1.10013759,0.33344884,-1.89746872,0.0,0.0,1.6,0.5,0.0
45,1.58491359,0.43299756,-2.09072692,0.0,0.0,1.6,0.8,0.0
46,2.00900943,0.51304893,-2.31708492,0.0,0.0,1.6,1.1,0.0
47,0.20995163,0.21803303,-2.15311232,0.0,0.0,1.7,0.0,0.0
48,0.28662037,0.66146341,-2.28463748,0.0,0.0,1.7,0.0,0.2
49,0.40547186,1.27990433,-2.55675128,0.0,0.0,1.7,0.0,0.5
