,fx,fy,fz,x,y,z,x_shear,y_shear
0,-0.00022757,0.00032414,-4.7e-05,0.0,0.0,0.0,,
1,-0.00064372,-0.00022582,0.0014639,0.0,0.0,0.0,0.0,0.0
2,0.01941585,0.03428066,-0.47087316,0.0,0.0,1.7,0.0,0.0
3,0.02001873,0.03490698,-0.46395942,0.0,0.0,1.7,0.0,0.2
4,0.01977404,0.03558573,-0.46022034,0.0,0.0,1.7,0.0,0.5
5,0.0259999,0.10612642,-0.4641286,0.0,0.0,1.7,0.0,0.8
6,0.03761741,0.45045972,-0.5539043,0.0,0.0,1.7,0.0,1.1
7,0.29782893,0.04074809,-0.49832376,0.0,0.0,1.7,0.2,0.0
8,0.49076691,0.03816063,-0.54288884,0.0,0.0,1.7,0.5,0.0
9,0.53433673,0.03397222,-0.59782183,0.0,0.0,1.7,0.8,0.0
10,0.58289683,0.03444324,-0.64827874,0.0,0.0,1.7,1.1,0.0
11,0.05297691,0.08352978,-0.91250889,0.0,0.0,1.8,0.0,0.0
12,0.05535701,0.08271859,-0.89574714,0.0,0.0,1.8,0.0,0.2
13,0.05830056,0.08107801,-0.88439902,0.0,0.0,1.8,0.0,0.5
14,0.0640494,0.12910766,-0.88466418,0.0,0.0,1.8,0.0,0.8
15,0.09139909,0.64385442,-1.02909392,0.0,0.0,1.8,0.0,1.1
16,0.41337625,0.09492102,-0.93698071,0.0,0.0,1.8,0.2,0.0
17,0.82541635,0.09022426,-1.01125136,0.0,0.0,1.8,0.5,0.0
18,1.00935674,0.08122414,-1.08728129,0.0,0.0,1.8,0.8,0.0
19,1.07542024,0.07395702,-1.15018001,0.0,0.0,1.8,1.1,0.0
20,0.10649279,0.14516813,-1.4871322,0.0,0.0,1.9,0.0,0.0
21,0.11043206,0.14408412,-1.46417249,0.0,0.0,1.9,0.0,0.2
22,0.11380684,0.14388136,-1.45183701,0.0,0.0,1.9,0.0,0.5
23,0.12581997,0.2620928,-1.45939547,0.0,0.0,1.9,0.0,0.8
24,0.17195631,0.88124906,-1.65372226,0.0,0.0,1.9,0.0,1.1
25,0.53970323,0.16709755,-1.54673676,0.0,0.0,1.9,0.2,0.0
26,1.10195459,0.18150061,-1.66784226,0.0,0.0,1.9,0.5,0.0
27,1.55684985,0.18281672,-1.77600186,0.0,0.0,1.9,0.8,0.0
28,1.82398004,0.17454491,-1.86450988,0.0,0.0,1.9,1.1,0.0
29,0.1769926,0.21716093,-2.15143379,0.0,0.0,2.0,0.0,0.0
30,0.18220816,0.21556224,-2.12052643,0.0,0.0,2.0,0.0,0.2
31,0.18582306,0.21621494,-2.10650168,0.0,0.0,2.0,0.0,0.5
32,0.20043844,0.29366046,-2.1013947,0.0,0.0,2.0,0.0,0.8
33,0.26331821,1.02134114,-2.33293318,0.0,0.0,2.0,0.0,1.1
34,0.66337276,0.24670305,-2.23032312,0.0,0.0,2.0,0.2,0.0
35,1.31552248,0.29076453,-2.40205528,0.0,0.0,2.0,0.5,0.0
36,1.9193285,0.30389603,-2.57854713,0.0,0.0,2.0,0.8,0.0
37,2.40263281,0.31435402,-2.7067926,0.0,0.0,2.0,1.1,0.0
38,0.25360822,0.29461641,-2.82495436,0.0,0.0,2.1,0.0,0.0
39,0.25879612,0.29317091,-2.78843456,0.0,0.0,2.1,0.0,0.2
40,0.26469213,0.29119901,-2.76444494,0.0,0.0,2.1,0.0,0.5
41,0.2808718,0.36133099,-2.7508844,0.0,0.0,2.1,0.0,0.8
42,0.35317938,1.16921197,-3.02550268,0.0,0.0,2.1,0.0,1.1
43,0.76985451,0.33755806,-2.88250247,0.0,0.0,2.1,0.2,0.0
44,1.48256074,0.40752666,-3.12071974,0.0,0.0,2.1,0.5,0.0
45,2.16813541,0.4283549,-3.3417946,0.0,0.0,2.1,0.8,0.0
46,2.78124395,0.44456098,-3.5101013,0.0,0.0,2.1,1.1,0.0
47,0.33799757,0.39480718,-3.62593346,0.0,0.0,2.2,0.0,0.0
48,0.35015005,0.39453603,-3.57428656,0.0,0.0,2.2,0.0,0.2
