,fx,fy,fz,x,y,z,x_shear,y_shear
0,-0.00119689,-0.00073289,-0.00216891,0.0,0.0,0.0,,
1,-0.00011893,-0.00033009,0.00047946,0.0,0.0,0.0,0.0,0.0
2,-0.00198792,-0.00069137,0.00102492,0.0,0.0,1.4,0.0,0.0
3,-0.00201853,-0.00092664,0.00011907,0.0,0.0,1.4,0.0,0.2
4,-0.00135473,-0.00096458,-0.00079137,0.0,0.0,1.4,0.0,0.5
5,-0.00228313,-0.00089529,0.00010568,0.0,0.0,1.4,0.0,0.8
6,-0.00380328,7.717e-05,-0.00108707,0.0,0.0,1.4,0.0,1.1
7,0.00091993,-0.0010791,0.00014036,0.0,0.0,1.4,0.2,0.0
8,0.00087905,-0.00068485,0.00026618,0.0,0.0,1.4,0.5,0.0
9,-0.00138617,-0.00092187,0.0037347,0.0,0.0,1.4,0.8,0.0
10,-0.00038227,-0.00028263,-0.00060371,0.0,0.0,1.4,1.1,0.0
11,-0.00100043,-0.00246881,-0.00079468,0.0,0.0,1.5,0.0,0.0
12,-0.00225182,-0.00256993,-0.00020333,0.0,0.0,1.5,0.0,0.2
13,-0.0002615,-0.00174741,-0.00061297,0.0,0.0,1.5,0.0,0.5
14,-0.00216318,-0.00095653,-0.00026724,0.0,0.0,1.5,0.0,0.8
15,-0.00066665,-0.00081621,0.00187266,0.0,0.0,1.5,0.0,1.1
16,-0.00253078,-0.00389445,0.00193675,0.0,0.0,1.5,0.2,0.0
17,-0.0006808,-0.00382033,0.00090564,0.0,0.0,1.5,0.5,0.0
18,3.898e-05,-0.00418086,6.421e-05,0.0,0.0,1.5,0.8,0.0
19,0.00184719,-0.00410212,0.00025249,0.0,0.0,1.5,1.1,0.0
20,0.0016175,-0.00327456,-0.00230229,0.0,0.0,1.6,0.0,0.0
21,0.00390293,-0.00239172,-0.000984,0.0,0.0,1.6,0.0,0.2
22,0.00217471,-0.00212416,-0.00347457,0.0,0.0,1.6,0.0,0.5
23,0.00423581,0.01250495,-0.01887175,0.0,0.0,1.6,0.0,0.8
24,0.00095511,0.03284403,-0.03760537,0.0,0.0,1.6,0.0,1.1
25,0.00414453,-0.00158699,0.00109656,0.0,0.0,1.6,0.2,0.0
26,0.00495146,-0.00100362,-0.00208394,0.0,0.0,1.6,0.5,0.0
27,0.00311348,-0.00305768,-0.00378655,0.0,0.0,1.6,0.8,0.0
28,0.0036102,-0.00202661,-0.00338064,0.0,0.0,1.6,1.1,0.0
29,0.00491983,0.00799437,-0.13793887,0.0,0.0,1.7,0.0,0.0
30,0.00070573,0.13099691,-0.17682794,0.0,0.0,1.7,0.0,0.2
31,-0.00389241,0.20043443,-0.25093469,0.0,0.0,1.7,0.0,0.5
32,-0.00418962,0.28594715,-0.3387579,0.0,0.0,1.7,0.0,0.8
33,-0.00793704,0.36791531,-0.41833173,0.0,0.0,1.7,0.0,1.1
34,0.10768973,0.00879694,-0.14741146,0.0,0.0,1.7,0.2,0.0
35,0.10660141,0.003608,-0.1464727,0.0,0.0,1.7,0.5,0.0
36,0.10360867,0.0032936,-0.14203928,0.0,0.0,1.7,0.8,0.0
37,0.10638476,0.00253898,-0.13939534,0.0,0.0,1.7,1.1,0.0
38,0.0126403,0.04556998,-0.50419174,0.0,0.0,1.8,0.0,0.0
39,0.01689257,0.41423287,-0.60238046,0.0,0.0,1.8,0.0,0.2
40,0.0141499,0.68580932,-0.77462996,0.0,0.0,1.8,0.0,0.5
41,0.01041141,0.84750811,-0.92322467,0.0,0.0,1.8,0.0,0.8
42,0.00375848,0.98110272,-1.06493523,0.0,0.0,1.8,0.0,1.1
43,0.2968436,0.07634208,-0.52300294,0.0,0.0,1.8,0.2,0.0
44,0.47154599,0.05861491,-0.56035071,0.0,0.0,1.8,0.5,0.0
45,0.4635738,0.03583837,-0.56219329,0.0,0.0,1.8,0.8,0.0
46,0.46616409,0.02681696,-0.55381188,0.0,0.0,1.8,1.1,0.0
47,0.03193965,0.10830876,-1.02772007,0.0,0.0,1.9,0.0,0.0
48,0.04762323,0.53279339,-1.14857061,0.0,0.0,1.9,0.0,0.2
49,0.07520573,1.1308621,-1.42811064,0.0,0.0,1.9,0.0,0.5
50,0.07428125,1.54641504,-1.70874972,0.0,0.0,1.9,0.0,0.8
51,0.06625773,1.85213863,-2.09018939,0.0,0.0,1.9,0.0,1.1
52,0.35940974,0.15312115,-1.03509027,0.0,0.0,1.9,0.2,0.0
53,0.8069813,0.18826279,-1.10709881,0.0,0.0,1.9,0.5,0.0
54,1.00796027,0.15890035,-1.17963375,0.0,0.0,1.9,0.8,0.0
55,0.97497385,0.11423193,-1.17328361,0.0,0.0,1.9,1.1,0.0
56,0.05711217,0.18672986,-1.67253507,0.0,0.0,2.0,0.0,0.0
57,0.07951546,0.66116426,-1.82719738,0.0,0.0,2.0,0.0,0.2
58,0.11693317,1.36905528,-2.17192167,0.0,0.0,2.0,0.0,0.5
59,0.14181881,2.00227708,-2.52323447,0.0,0.0,2.0,0.0,0.8
60,0.15823455,2.48053444,-3.01726319,0.0,0.0,2.0,0.0,1.1
61,0.41564223,0.25205565,-1.67566624,0.0,0.0,2.0,0.2,0.0
62,0.94582328,0.30228743,-1.74693021,0.0,0.0,2.0,0.5,0.0
63,1.39110878,0.3147286,-1.85080079,0.0,0.0,2.0,0.8,0.0
64,1.58304034,0.2852635,-1.94527407,0.0,0.0,2.0,1.1,0.0
65,0.0794457,0.27988474,-2.35727343,0.0,0.0,2.1,0.0,0.0
66,0.10785501,0.78784905,-2.52577159,0.0,0.0,2.1,0.0,0.2
67,0.15408025,1.55463586,-2.92130805,0.0,0.0,2.1,0.0,0.5
68,0.19806789,2.27922792,-3.33654314,0.0,0.0,2.1,0.0,0.8
69,0.22270876,2.90550046,-3.84604914,0.0,0.0,2.1,0.0,1.1
70,0.47078008,0.35674133,-2.35730259,0.0,0.0,2.1,0.2,0.0
71,1.06369838,0.42220551,-2.42854777,0.0,0.0,2.1,0.5,0.0
72,1.60107336,0.44748647,-2.5275846,0.0,0.0,2.1,0.8,0.0
73,1.97218575,0.45840673,-2.64411243,0.0,0.0,2.1,1.1,0.0
74,0.10751002,0.38252791,-3.06222497,0.0,0.0,2.2,0.0,0.0
75,0.1327626,0.91481406,-3.24687598,0.0,0.0,2.2,0.0,0.2
76,0.19317207,1.73248418,-3.69727534,0.0,0.0,2.2,0.0,0.5
77,0.2412876,2.5178441,-4.15097281,0.0,0.0,2.2,0.0,0.8
