img_name,fx,fy,fz,x,y,z,x_shear,y_shear
square_img_0.jpg,0.002,-0.001,0.002,0.0,0.0,1.4,0,0
square_img_1.jpg,-0.0,-0.001,0.002,0.0,0.0,1.4,0,0.2
square_img_2.jpg,-0.001,-0.001,-0.001,0.0,0.0,1.4,0,0.5
square_img_3.jpg,-0.002,0.001,0.004,0.0,0.0,1.4,0,0.8
square_img_4.jpg,-0.002,0.001,0.0,0.0,0.0,1.4,0,1.1
square_img_5.jpg,-0.003,0.001,-0.002,0.0,0.0,1.4,0.2,0
square_img_6.jpg,-0.002,0.003,-0.003,0.0,0.0,1.4,0.5,0
square_img_7.jpg,-0.003,0.003,-0.001,0.0,0.0,1.4,0.8,0
square_img_8.jpg,-0.005,0.003,-0.002,0.0,0.0,1.4,1.1,0
square_img_9.jpg,-0.004,0.003,-0.006,0.0,0.0,1.5,0,0
square_img_10.jpg,-0.002,0.008,-0.008,0.0,0.0,1.5,0,0.2
square_img_11.jpg,-0.003,0.012,-0.017,0.0,0.0,1.5,0,0.5
square_img_12.jpg,-0.003,0.02,-0.022,0.0,0.0,1.5,0,0.8
square_img_13.jpg,-0.003,0.03,-0.037,0.0,0.0,1.5,0,1.1
square_img_14.jpg,0.007,0.005,-0.016,0.0,0.0,1.5,0.2,0
square_img_15.jpg,0.013,0.005,-0.027,0.0,0.0,1.5,0.5,0
square_img_16.jpg,0.022,0.006,-0.04,0.0,0.0,1.5,0.8,0
square_img_17.jpg,0.031,0.007,-0.049,0.0,0.0,1.5,1.1,0
square_img_18.jpg,-0.005,0.012,-0.097,0.0,0.0,1.6,0,0
square_img_19.jpg,0.005,0.085,-0.109,0.0,0.0,1.6,0,0.2
square_img_20.jpg,0.004,0.098,-0.131,0.0,0.0,1.6,0,0.5
square_img_21.jpg,0.003,0.132,-0.168,0.0,0.0,1.6,0,0.8
square_img_22.jpg,0.007,0.162,-0.213,0.0,0.0,1.6,0,1.1
square_img_23.jpg,0.072,0.018,-0.106,0.0,0.0,1.6,0.2,0
square_img_24.jpg,0.09,0.014,-0.124,0.0,0.0,1.6,0.5,0
square_img_25.jpg,0.111,0.013,-0.142,0.0,0.0,1.6,0.8,0
square_img_26.jpg,0.135,0.012,-0.168,0.0,0.0,1.6,1.1,0
square_img_27.jpg,-0.005,0.032,-0.276,0.0,0.0,1.7,0,0
square_img_28.jpg,0.029,0.194,-0.322,0.0,0.0,1.7,0,0.2
square_img_29.jpg,0.025,0.284,-0.363,0.0,0.0,1.7,0,0.5
square_img_30.jpg,0.022,0.342,-0.427,0.0,0.0,1.7,0,0.8
square_img_31.jpg,0.024,0.415,-0.501,0.0,0.0,1.7,0,1.1
square_img_32.jpg,0.166,0.062,-0.273,0.0,0.0,1.7,0.2,0
square_img_33.jpg,0.246,0.04,-0.3,0.0,0.0,1.7,0.5,0
square_img_34.jpg,0.28,0.028,-0.337,0.0,0.0,1.7,0.8,0
square_img_35.jpg,0.312,0.027,-0.377,0.0,0.0,1.7,1.1,0
square_img_36.jpg,-0.009,0.07,-0.571,0.0,0.0,1.8,0,0
square_img_37.jpg,0.038,0.272,-0.637,0.0,0.0,1.8,0,0.2
square_img_38.jpg,0.052,0.567,-0.729,0.0,0.0,1.8,0,0.5
square_img_39.jpg,0.048,0.664,-0.839,0.0,0.0,1.8,0,0.8
square_img_40.jpg,0.046,0.78,-0.952,0.0,0.0,1.8,0,1.1
square_img_41.jpg,0.214,0.114,-0.563,0.0,0.0,1.8,0.2,0
square_img_42.jpg,0.493,0.102,-0.582,0.0,0.0,1.8,0.5,0
square_img_43.jpg,0.552,0.081,-0.64,0.0,0.0,1.8,0.8,0
square_img_44.jpg,0.6,0.072,-0.708,0.0,0.0,1.8,1.1,0
square_img_45.jpg,-0.003,0.119,-0.993,0.0,0.0,1.9,0,0
square_img_46.jpg,0.056,0.37,-1.096,0.0,0.0,1.9,0,0.2
square_img_47.jpg,0.078,0.775,-1.242,0.0,0.0,1.9,0,0.5
square_img_48.jpg,0.077,1.136,-1.438,0.0,0.0,1.9,0,0.8
square_img_49.jpg,0.077,1.274,-1.61,0.0,0.0,1.9,0,1.1
square_img_50.jpg,0.279,0.175,-1.008,0.0,0.0,1.9,0.2,0
square_img_51.jpg,0.673,0.174,-1.046,0.0,0.0,1.9,0.5,0
square_img_52.jpg,0.965,0.167,-1.111,0.0,0.0,1.9,0.8,0
square_img_53.jpg,1.054,0.161,-1.205,0.0,0.0,1.9,1.1,0
square_img_54.jpg,0.023,0.183,-1.52,0.0,0.0,2.0,0,0
square_img_55.jpg,0.088,0.483,-1.635,0.0,0.0,2.0,0,0.2
square_img_56.jpg,0.122,0.982,-1.84,0.0,0.0,2.0,0,0.5
square_img_57.jpg,0.118,1.495,-2.113,0.0,0.0,2.0,0,0.8
square_img_58.jpg,0.118,1.916,-2.399,0.0,0.0,2.0,0,1.1
square_img_59.jpg,0.358,0.241,-1.542,0.0,0.0,2.0,0.2,0
square_img_60.jpg,0.846,0.257,-1.611,0.0,0.0,2.0,0.5,0
square_img_61.jpg,1.25,0.268,-1.706,0.0,0.0,2.0,0.8,0
square_img_62.jpg,1.532,0.282,-1.823,0.0,0.0,2.0,1.1,0
square_img_63.jpg,0.056,0.241,-2.11,0.0,0.0,2.1,0,0
